index,accident_id,STATE,ST_CASE,VEH_NO,VE_FORMS,NUMOCCS,DAY,MONTH,HOUR,MINUTE,HARM_EV,MAN_COLL,UNITTYPE,HIT_RUN,REG_STAT,OWNER,MAKE,MODEL,MAK_MOD,BODY_TYP,MOD_YEAR,VIN,VIN_1,VIN_2,VIN_3,VIN_4,VIN_5,VIN_6,VIN_7,VIN_8,VIN_9,VIN_10,VIN_11,VIN_12,TOW_VEH,J_KNIFE,MCARR_I1,MCARR_I2,MCARR_ID,GVWR,V_CONFIG,CARGO_BT,HAZ_INV,HAZ_PLAC,HAZ_ID,HAZ_CNO,HAZ_REL,BUS_USE,SPEC_USE,EMER_USE,TRAV_SP,UNDERIDE,ROLLOVER,ROLINLOC,IMPACT1,DEFORMED,TOWED,M_HARM,VEH_SC1,VEH_SC2,FIRE_EXP,DR_PRES,L_STATE,DR_ZIP,L_STATUS,L_TYPE,CDL_STAT,L_ENDORS,L_COMPL,L_RESTRI,DR_HGT,DR_WGT,PREV_ACC,PREV_SUS,PREV_DWI,PREV_SPD,PREV_OTH,FIRST_MO,FIRST_YR,LAST_MO,LAST_YR,SPEEDREL,DR_SF1,DR_SF2,DR_SF3,DR_SF4,VTRAFWAY,VNUM_LAN,VSPD_LIM,VALIGN,VPROFILE,VPAVETYP,VSURCOND,VTRAFCON,VTCONT_F,P_CRASH1,P_CRASH2,P_CRASH3,PCRASH4,PCRASH5,ACC_TYPE,TRLR1VIN,TRLR2VIN,TRLR3VIN,DEATHS,DR_DRINK,VINTYPE,VINMAKE,VINA_MOD,VIN_BT,VINMODYR,VIN_LNGT,VIN_WGT,WGTCD_TR,WHLBS_LG,WHLBS_SH,SER_TR,FUELCODE,MCYCL_DS,CARBUR,CYLINDER,DISPLACE,MCYCL_CY,MCYCL_WT,TIRE_SZE,TON_RAT,TRK_WT,TRKWTVAR,VIN_REST,WHLDRWHL,Year
0,2016040001,4,40001,1,1,5,2,1,13,54,1,0,1,0,4,2,12,481,12481,31,2006,1FTRW12W86KC,1,F,T,R,W,1,2,W,8,6,K,C,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,999,0,1,5,0,6,2,1,0,0,0,1,4,85128,0,0,0,0,0,0,69,200,0,0,1,0,0,9,2012,9,2012,4,58,0,0,0,1,2,0,1,1,8,1,0,0,1,13,99,5,4,2,No Trailing Units,No Trailing Units,No Trailing Units,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2016
1,2016040002,4,40002,1,1,99,2,1,21,26,8,0,1,1,99,9,99,999,99999,99,9999,Unknown,9,9,9,9,9,9,9,9,9,9,9,9,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,33,0,0,0,99,9,5,8,99,99,0,1,99,99999,9,9,99,0,9,9,999,999,99,99,99,99,99,99,9999,99,9999,9,99,99,99,99,5,5,35,1,1,8,1,0,0,1,80,99,9,1,13,No Trailing Units,No Trailing Units,No Trailing Units,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2016
2,2016040003,4,40003,1,1,6,3,1,6,56,1,0,1,0,4,1,37,31,37031,4,2015,19XFB2F54FE1,1,9,X,F,B,2,F,5,4,F,E,1,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,998,0,1,5,0,6,2,1,0,0,0,1,4,85706,0,0,0,0,0,0,66,110,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,75,1,1,2,1,0,0,1,12,99,3,4,2,No Trailing Units,No Trailing Units,No Trailing Units,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2016
3,2016040004,4,40004,1,2,2,7,1,22,22,12,6,1,0,20,2,24,5,24005,4,2001,1G8JU52F61Y5,1,G,8,J,U,5,2,F,6,1,Y,5,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,20,0,0,0,83,6,2,12,0,0,0,1,20,67209,6,1,0,0,3,0,71,150,0,0,0,0,0,0,0,0,0,0,38,0,0,0,2,5,55,1,1,1,2,3,3,11,15,99,1,1,68,No Trailing Units,No Trailing Units,No Trailing Units,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2016
4,2016040004,4,40004,2,2,3,7,1,22,22,12,6,1,0,4,2,55,402,55402,14,2006,KM8JN12D46U3,K,M,8,J,N,1,2,D,4,6,U,3,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,55,0,0,0,12,6,2,12,0,0,0,1,4,85710,6,1,0,0,3,0,66,140,1,2,0,0,1,7,2012,5,2013,9,99,99,99,99,2,3,55,1,1,1,2,3,3,1,62,99,1,1,69,No Trailing Units,No Trailing Units,No Trailing Units,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2016
5,2016040005,4,40005,1,2,1,10,1,1,1,12,2,1,0,4,1,2,404,2404,14,2004,1J4GX48S34C2,1,J,4,G,X,4,8,S,3,4,C,2,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,998,0,0,0,12,6,2,12,0,0,1,1,4,85051,6,1,0,0,3,0,78,180,1,7,0,1,2,12,2012,11,2015,0,51,0,0,0,3,3,65,1,1,2,1,0,0,1,54,99,1,1,52,No Trailing Units,No Trailing Units,No Trailing Units,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2016
6,2016040005,4,40005,2,2,1,10,1,1,1,12,2,1,0,4,1,49,482,49482,31,2015,5TFUW5F11FX4,5,T,F,U,W,5,F,1,1,F,X,4,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,998,0,1,1,12,6,2,12,0,0,0,1,4,85041,6,1,0,0,3,0,75,190,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,65,1,1,2,1,0,0,1,54,99,1,1,52,No Trailing Units,No Trailing Units,No Trailing Units,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2016
7,2016040006,4,40006,1,1,2,9,1,18,34,8,0,1,0,4,1,34,34,34034,4,2008,WBAVA37588NL,W,B,A,V,A,3,7,5,8,8,N,L,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,49,0,0,0,62,2,3,8,0,0,0,1,4,85053,6,1,0,0,3,0,61,120,3,7,0,9,2,2,2011,12,2015,0,0,0,0,0,5,7,45,1,1,8,1,0,0,1,80,99,1,1,13,No Trailing Units,No Trailing Units,No Trailing Units,0,0,,,,,,,,,,,,,,,,,,,,,,,,,2016
8,2016040007,4,40007,1,1,3,10,1,1,32,33,0,1,0,4,1,49,32,49032,4,1996,1NXBB02E3TZ3,1,N,X,B,B,0,2,E,3,T,Z,3,0,0,0,Not Applicable,Not Applicable,0,0,0,1,0,0,0,0,0,0,0,50,0,0,0,12,6,2,30,0,0,0,1,4,85367,6,1,0,0,3,0,66,150,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,2,45,3,1,8,1,3,3,14,13,99,1,4,1,No Trailing Units,No Trailing Units,No Trailing Units,2,1,,,,,,,,,,,,,,,,,,,,,,,,,2016
9,2016040008,4,40008,1,1,3,11,1,19,49,5,0,1,0,4,3,12,461,12461,21,2003,1FDWE35F83HA,1,F,D,W,E,3,5,F,8,3,H,A,0,0,4,37194,0437194,2,1,1,1,0,0,0,0,0,6,8,65,0,0,0,0,0,5,5,0,0,0,1,4,85546,6,1,0,0,3,0,75,245,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,65,1,1,2,1,0,0,1,98,99,9,1,0,No Trailing Units,No Trailing Units,No Trailing Units,1,0,,,,,,,,,,,,,,,,,,,,,,,,,2016
